empresa,nota,avaliacoes
 Grupo Santa Celina ,"3,2", 15
 RB Serviços ,"3,3", 15
 Cartão Elo ,"3,9", 15
 Rede Krill de Supermercados ,"3,9", 15
 Dutra Rodrigues e Gagos Barbosa Advogados (DRGB Advogados) ,"3,3", 15
 Infosys Lodestone ,"3,6", 15
 CAEP Campinas ,"3,5", 15
 Natue ,"3,1", 15
 Agaxtur Viagens ,"3,3", 15
 OQVestir ,"2,9", 15
 Grupo VIP Transporte Urbano ,"3,8", 15
 CorpFlex ,"4,0", 15
 Belfort Segurança de Bens e Valores ,"3,8", 14
 Bookeepers ,"2,3", 14
 Colégio Dante Alighieri ,"3,3", 14
 Phonoway ,"4,0", 14
 Pereira Neto | Macedo Advogados ,"4,1", 14
 Biosintética ,"4,0", 14
 Restaurante América ,"3,5", 14
 Grupo Verreschi ,"2,8", 14
 Empregos.com.br ,"3,3", 14
 Econocom ,"2,9", 250
 TVZ ,"3,0", 29
 Integralmédica ,"3,1", 24
 Intero Brasil ,"2,8", 19
 São Paulo Environmental System ,"3,9", 20
 Consulcamp ,"4,2", 18
 Envision Tecnologia ,"3,6", 15
 Stryker ,"3,9"," 2,4k"
 G4S ,"3,0"," 1,9k"
 Abbott Laboratories ,"3,6"," 1,9k"
 ING ,"3,8"," 1,5k"
 PPD ,"3,6"," 1,3k"
 Capco ,"3,8"," 1,2k"
 Red Ventures ,"2,9"," 1,0k"
 British Council ,"3,4", 779
 Maersk Group ,"4,1", 776
 Fortinet ,"4,4", 708
 ITW ,"3,3", 643
 Schweitzer Engineering Laboratories ,"3,9", 351
 Interbrand ,"3,2", 315
 ASSA ABLOY ,"2,9", 300
 Gates Corporation ,"3,0", 274
 Aggreko ,"3,5", 268
 Metalsa ,"4,1", 183
 Glenmark ,"3,7", 182
 Dover Corporation ,"3,5", 180
 Furnas ,"4,2", 180
 Mitsubishi ,"3,2", 177
 GEFCO ,"3,4", 158
 Beijaflore ,"3,4", 157
 Fareva ,"3,7", 130
 Greif ,"3,7", 120
 Autoglass (Brazil) ,"4,4", 115
" ""Grupo Trigo (Spoleto, Koni, Gurumê, LeBonton)"" ","3,6", 108
 Belcorp ,"4,0", 101
 Hortifruti ,"3,9", 96
 Animale ,"3,2", 82
 Kipling ,"3,0", 67
 KHS ,"3,8", 64
 UNASP ,"3,1", 62
 Dr. Oetker ,"3,8", 62
 RNI ,"3,6", 61
 Brazil Hospitality Group ,"3,7", 60
 Carvajal ,"3,4", 59
 Log-In Logística Intermodal ,"3,6", 56
 Cedro Technologies ,"3,5", 54
 Dudalina ,"3,7", 51
 IMC Saste ,"3,8", 49
 Drogal ,"3,8", 47
 Arteris (Brazil) ,"3,9", 47
 Contabilidade ,"3,5", 46
 NZN ,"3,8", 43
 Playland ,"3,3", 42
 Coesia ,"2,8", 38
 Universidade de São Paulo ,"3,8", 38
 Minalba ,"3,7", 38
 Trouw Nutrition ,"3,0", 37
 Celulose Irani ,"4,2", 37
 AUDAC ,"2,7", 34
" ""Sette Câmara, Correa e Bastos Advogados"" ","2,4", 30
 American Express ,"3,9", 29
 XCSE Abramo GmbH ,"2,3", 28
 Alelo ,"4,2", 28
 Grupo Benassi ,"3,1", 28
 ACM/YMCA ,"4,1", 27
 Edscha ,"3,1", 26
 Orion Integração ,"3,4", 25
 Acqio ,"4,5", 25
 Intelie ,"4,0", 25
 Extra Hipermecado (GPA) ,"3,2", 24
 Santa Clara ,"3,2", 24
 GAS Tecnologia ,"3,3", 23
 Coopmil ,"3,3", 23
 Novaquest ,"3,3", 23
 HTB ,"3,7", 22
 Zeelandia ,"3,7", 22
 Voss Automotive ,"3,8", 22
 Odebrecht Realizaçõe Imobiliárias ,"4,3", 22
 Oscar Calçados ,"3,6", 22
 Vai.Car ,"3,9", 22
 Della Volpe Transportes ,"3,4", 21
 Refrigerantes Convenção ,"2,7", 21
 Vedacit Impermeabilizantes ,"3,7", 21
 Elekeiroz ,"3,6", 21
 Hydac Filter Systems Gmbh ,"3,2", 21
 Experimento Intercâmbio Cultural ,"3,2", 20
 Grupo Tomé ,"4,2", 20
 Estratégia Concursos ,"3,2", 20
 Digipix ,"3,4", 20
 NeoAssist ,"4,1", 19
 Bee Creative ,"3,1", 19
 Cadis Consultoria Contábil ,"2,4", 19
 Copastur ,"3,8", 19
 Kleffmann Group ,"2,8", 19
" School of Art, Game and Animation ","3,5", 19
 Network1 ,"3,2", 18
 Canal Concept ,"3,5", 18
 Hughes Brasil ,"3,4", 18
 Netpartners ,"3,8", 18
 Shark Tratores e Peças ,"3,7", 18
 Concessionária CCR AutoBAn ,"3,5", 18
 Hospital São Cristóvão ,"3,8", 18
 Mitre Realty ,"3,3", 18
 Grupo Boucinhas ,"1,9", 17
 Costa Bertholdo Sociedade de Advogados ,"3,0", 17
 Prosimulador ,"3,2", 17
 Grupo In Press ,"3,8", 17
 F2F Digital ,"3,4", 17
 Grupo Andreta ,"2,6", 17
 Hospital Dom Antonio Alvarenga ,"3,2", 17
 Repense Comunicação ,"2,7", 17
 Nazca Cosméticos ,"3,4", 17
 AGEO ,"2,8", 16
 ON Telecomunições ,"4,0", 16
 Estúdio da Sobrancelha ,"3,0", 16
 Stato Consultoria RH ,"3,9", 16
 Tritone ,"3,3", 16
 Allink ,"3,9", 16
 TRR Securitas ,"3,1", 16
 Laboratório Biovet ,"3,6", 16
 ST IT Consulting ,"3,5", 16
 KSI Brasil ,"2,6", 16
 United Institute ,"3,3", 16
 CTI Global ,"3,6", 16
 Apis3 Publicidade e Propaganda ,"4,0", 16
 Fundação Zerbini ,"3,5", 16
 Sport Club Corinthians Paulista ,"3,3", 16
 Sidewalk Brasil ,"2,9", 16
 Câmara de Comércio e Indústria Brasil Alemanha ,"3,6", 16
 Hospital Sancta Maggiore ,"3,3", 15
 Bueno Netto ,"3,5", 15
 Cetec Educacional ,"3,2", 15
 Press à Porter ,"2,9", 15
 Grand Brasil ,"3,1", 15
 5A Consultoria ,"3,1", 15
 Grão de Gente ,"3,8", 15
 Spot Promoções e Merchandising Ltda ,"4,0", 15
 Telemabi ,"2,3", 15
 Shoebiz ,"3,4", 15
 Rosset ,"2,6", 15
 Index Assessoria ,"2,8", 15
 Trocafone ,"3,1", 15
 EZ Security ,"3,3", 14
 Fornax Technology ,"3,5", 14
 Cellular Mix ,"2,4", 14
 Across Futuros Convergentes ,"3,3", 14
 AD.Dialeto ,"3,3", 14
 Cel Lep Idiomas ,"2,4", 14
 UFABC Jr ,"4,5", 14
 Proguaru ,"3,3", 14
 Astrein ,"3,8", 14
 Sottelli ,"3,3", 14
 TK Logística do Brasil ,"3,5", 14
 Zênega ,"2,5", 14
 Bioqualynet ,"3,8", 14
 Fundação Dorina Nowill para Cegos ,"3,3", 14
 MadeinWeb ,"4,0", 14
 Prefeitura Municipal de Caieiras ,"2,9", 14
 RR Perfumes ,"3,2", 14
 Grupo Eixo ,"2,7", 14
 Kitani Locação e Comércio de Equipamentos ,"2,2", 14
 Just Fit Academia ,"3,4", 14
 Vetnil ,"3,2", 14
 Colégio Marista Arquidiocesano ,"4,0", 14
 Ótica Indaiá ,"3,2", 14
 Agência WE ,"3,0", 14
 Third IT Solutions ,"2,8", 14
 Sociedade Brasileira de Coaching ,"2,6", 14
 Global System ,"4,2", 14
 La Rondine ,"3,2", 14
 Barred's ,"2,3", 14
 Miami Store ,"2,3", 14
 Prefeitura Municipal de Sumaré ,"3,2", 14
 WEVO ,"3,2", 14
 Beyond Solutions ,"5,0", 14
 Galena ,"3,6", 14
 Milvus ,"4,7", 13
 Presence Brasil ,"2,0", 13
 Dalutex ,"3,3", 13
 Lumma Despachante ,"3,0", 13
 Capital Mídia ,"3,9", 13
 Brinquedo Bandeirante ,"3,7", 13
 Grupo NVT ,"3,3", 13
 Rocontec ,"3,2", 13
 SuaHouse ,"4,0", 13
 Sambaiba Transportes Urbanos ,"3,4", 13
 Risc Services ,"3,0", 13
 IMCBrasil ,"3,1", 13
 Centro Espítira Nosso Lar Casas André Luiz ,"3,4", 13
 Agência Wys ,"4,4", 13
 O2B ,"3,6", 13
 Fácil Assist ,"3,2", 28
 Hesselbach Company ,"3,5", 19
 Capodarte ,"3,3", 16
 Marba ,"3,4", 15
 Igreja Universal do Reino de Deus ,"3,3", 38
 TRT 15 - TRT15 ,"4,2", 17
 Conselho Regional de Corretores de Imóveis de São Paulo (CRECI/SP) ,"2,8", 16
 Sam's Club ,"3,1"," 5,3k"
 FedEx ,"3,7"," 4,6k"
 Hilton ,"4,1"," 4,5k"
 NTT DATA ,"3,3"," 3,8k"
 Standard Chartered Bank ,"3,6"," 3,0k"
 RGIS ,"2,9"," 1,6k"
 Luxottica ,"3,2"," 1,4k"
 Ingersoll Rand ,"3,7"," 1,2k"
 Globant ,"3,9"," 1,2k"
 Dun & Bradstreet ,"3,1"," 1,1k"
 Freescale Semiconductor ,"3,7", 975
 FICO ,"3,3", 750
 Essilor ,"3,3", 658
 IDEXX Laboratories ,"3,3", 602
 Oxford University Press ,"2,8", 596
 Amway ,"3,6", 570
 Extreme Networks ,"3,8", 530
 PerkinElmer ,"3,2", 506
 CTDI ,"2,7", 434
 UCB ,"3,6", 365
 Carrier ,"3,2", 351
 Aptiv ,"3,5", 320
 Huntsman Corp ,"3,4", 301
 Lindt & Sprüngli ,"3,6", 301
 Hogarth Worldwide ,"3,5", 274
 Daiso Japan ,"2,9", 257
 Konica Minolta ,"2,8", 255
 Ortho Clinical Diagnostics ,"3,3", 248
 Novotel Hotels ,"3,6", 232
 Centro de Estudos e Sistemas Avançados do Recife - C.E.S.A.R ,"4,4", 217
 JCB ,"3,7", 215
 TI Automotive ,"2,8", 152
 IT Convergence ,"3,7", 151
 Unicred do Brasil ,"3,8", 143
 Glovo ,"4,2", 139
 Stemac ,"3,4", 96
 Lojas Renner ,"3,8", 82
 Isolux Corsan ,"3,3", 80
 Farm Brasil ,"3,4", 80
 Jafra ,"3,1", 72
 Bausch Health ,"3,0", 57
 Value Partners ,"3,7", 55
 Chalfin Goldberg Vainboim & Fichtner Advogados Associados (CGVF) ,"2,9", 51
 Almundo ,"3,6", 48
 Cadastra ,"3,6", 46
 Teixeira Duarte ,"3,3", 44
 Dufrio Refrigeração ,"3,5", 43
 Redebrasil Gestão de Ativos ,"2,8", 41
 Maybelline ,"3,4", 41
 Monte Carlo Jóias ,"3,5", 38
 Latecoere ,"3,2", 38
 Deere-Hitachi Construction Machinery ,"3,1", 37
 QIWI ,"4,3", 36
 Grupo Atento Terceirização ,"3,2", 35
 TQI - Technology and Quality on Information ,"3,8", 34
 Sendas Distribuidora ,"3,5", 34
 Grupo Editorial Nacional ,"3,5", 32
 Escola Padrão ,"3,2", 32
 People Tech and English ,"2,9", 30
 EPTV ,"3,3", 28
 John John Denim ,"3,6", 28
 Secretaria das Administração Penitenciária ,"3,3", 27
 Não+Pelo ,"2,8", 27
 Ortiz Gaming ,"2,9", 27
 Proguarda ,"3,4", 26
 Grupo Cimcorp ,"2,9", 26
 PROAIR ,"3,2", 25
 Hubert Company ,"3,2", 23
 Xcelis Consultoria ,"3,8", 22
 Akaer Engenharia ,"3,1", 21
 Hypermarcas ,"2,9", 20
 Centro Universitário Salesiano de São Paulo ,"3,7", 20
 Suporte Serviços de Segurança ,"3,4", 20
 Micropro ,"2,6", 20
 Lojas Eskala ,"3,2", 19
 De Nadai Soluções em Alimentação ,"3,9", 19
 Machado Associados ,"4,1", 19
 Anacapri ,"3,3", 19
 Assistec Informática ,"3,5", 19
 Alliar ,"2,5", 19
 Paulus Editora ,"4,1", 18
 Captativa ,"4,0", 18
 AB Brasil ,"3,9", 18
 Impacta Indústria e Comércio ,"3,5", 18
 Refrio Armazéns Gerais ,"2,6", 18
 Grupo Hidrau Torque (GHT) ,"3,8", 18
 Platlog ,"2,7", 18
 Grupo Natural da Terra ,"3,4", 17
 Mappel Indústria de Embalagens ,"2,9", 17
 StartPro ,"3,4", 17
 Colégio Rio Branco ,"3,3", 17
 Mundie Advogados ,"3,9", 17
 Rocha e Barcellos Advogados ,"3,6", 17
 Centro de Qualidade Analítica (CQA) ,"1,8", 17
 Vector Contact Center ,"3,1", 17
 Cirúrgica Fernandes ,"3,0", 17
 Nect Serviços Administrativos ,"2,7", 17
 Banco MUFG ,"4,0", 17
 Cura Imagem e Diagnóstico ,"3,4", 17
 Breda Transportes ,"3,8", 17
 ComparaOnline ,"3,9", 17
 Trio Alimentos ,"2,8", 17
 O2 Filmes ,"3,9", 17
 Cloud2b ,"3,3", 16
 I-Value ,"3,0", 16
 INETX ,"4,6", 16
 Vereda Educação ,"3,3", 16
 PUC Júnior Consultoria (SP) ,"4,6", 16
 Datafolha ,"3,7", 16
 Fadiga e Mardula Sociedade de Advogados ,"3,1", 16
 Icomm Group ,"3,1", 16
 Cremme ,"2,8", 16
 Lojas Mel ,"3,3", 16
 Gradual Investimentos ,"3,4", 16
 Edições Globo Condé Nast ,"3,3", 16
 Trasmontano Saúde ,"3,6", 16
 SESCON-SP ,"3,2", 16
 Telemática ,"2,6", 16
 Instituição Beneficente Lar de Maria ,"3,5", 16
 VB Transportes ,"3,3", 16
 MWL Brasil ,"3,0", 16
 Lush Cosméticos ,"4,0", 16
 Tesis Engenharia de Sistemas ,"3,2", 15
 Integer Outpromo ,"3,2", 15
 RexturAdvance ,"3,2", 15
 Hospital San Paolo ,"3,2", 15
 Lello Imóveis ,"3,5", 15
 NK Contabilidade ,"3,1", 15
 Banco Caixa Geral (BCG) ,"3,7", 15
 Biovida Saúde ,"3,1", 15
 Loga Logística Ambiental ,"3,0", 15
 Amend Cosméticos ,"4,0", 15
 Accuracy Promo ,"3,6", 15
 Triptyque Archtecture ,"3,1", 15
 Évora ,"3,4", 15
 Sofist ,"3,7", 15
 Total IP ,"3,1", 15
 Zeppini ,"3,3", 15
 Seteco Consultoria Contábil ,"3,3", 15
 Bandeirante Química ,"3,7", 15
 Tetralon (Brazil) ,"3,1", 15
 Planservi Engenharia ,"3,2", 15
 Multirede ,"3,0", 15
 Peppery ,"3,5", 15
 Instituto Tecnológico de Aeronáutica ,"4,2", 15
 Enox On-Life ,"3,6", 14
 Centro Universitário FEI ,"4,7", 14
 Pires & Gonçalves Advogados Associados ,"2,6", 14
 Taqtile ,"3,9", 14
 Elaw Tecnologia ,"3,4", 14
 Agência VM2 ,"2,3", 14
 Hostway Viagens ,"3,0", 14
 Magno Peças ,"2,9", 14
 IT Mídia ,"3,6", 14
 Hiring ,"3,5", 14
 Universidade Ibirapuera (UNIB) ,"3,0", 14
 BCR Serviços de TeleAtendimento ,"3,9", 14
 GPS Planejamento Financeiro ,"3,3", 14
 Issam ,"2,7", 14
 Grupo Side ,"3,4", 14
 Close-Up Intenational ,"3,1", 14
 Hospital Oftalmológico e Banco de Olhos de Sorocaba (HOSBOS) ,"3,2", 14
 Consulcred ,"3,1", 14
 LBGS Líder Brasileira em Grupos de Serviços ,"3,1", 14
 Viseu Advogados ,"3,1", 14
 Sodré Santoro Leiloeiro ,"1,7", 14
 Baked Potato ,"2,8", 14
 Tegra ,"3,9", 14
 Prefeitura Municipal de Ferraz de Vasconcelos ,"2,5", 14
 Ability Tecnologia e Serviços ,"3,6", 14
 Prefeitura Municipal de Valinhos ,"3,4", 13
 Savoy Imobiliária Construtora ,"3,8", 13
 Goomark ,"3,4", 13
 Prefeitura Municipal de Itupeva ,"4,2", 13
 Goop (Brazil) ,"4,7", 13
 Faculdade de Engenharia de Sorocaba (FACENS) ,"3,9", 13
 Viajanet ,"4,3", 13
 Instituto Dante Pazzanese de Cardiologia ,"3,8", 13
 MML Sistemas de Automação ,"3,3", 13
 Hospital Geral de Itapevi ,"3,2", 13
 Prefeitura Municipal da Estância de Atibaia ,"3,2", 13
 Santos Neto Advogados ,"2,8", 13
 Planeta Educação ,"3,3", 13
 Dr. TIS ,"4,0", 13
 Agência Molla ,"2,2", 13
 Cilasi Alimentos ,"2,9", 13
 Rede D'Or Hospital São Luiz Unidade Morumbi ,"3,6", 13
 Maromatel ,"3,0", 13
 Victory Consulting Brasil ,"3,1", 13
 United HR ,"4,5", 13
 Carvalho e Advogados Associados ,"2,9", 13
 Investe São Paulo ,"3,4", 12
 Grupo Inbra ,"3,2", 12
 Fiberwork ,"2,1", 12
 Agência de Comunicações ECA Jr. ,"4,8", 12
 Vorttex ,"3,2", 12
 BMK ,"3,6", 12
 Promovisão ,"3,3", 12
 Tempo Veículos ,"3,8", 12
 Serviço de Saúde Dr. Cândido Ferreira ,"3,9", 12
 Informa Economics FNP ,"3,4", 12
 Soma Soluções em Meio Ambiente ,"4,1", 12
 Neotass ,"3,6", 12
 ACCOUNT Assessores ,"3,7", 12
 Camisetas em 12 Horas ,"4,8", 12
 Biscaldi Bueno Sociedade de Advogados ,"1,8", 12
 Grupo LDI ,"4,1", 12
 Boimbardier Transportation ,"4,0", 69
 Netfarma ,"2,8", 15
 Yamaha Motor ,"3,3", 182
 Tivia TI ,"3,5", 16
 Kennametal ,"3,2", 344
 Comfrio ,"3,6", 40
 Leccor Multisserviços ,"3,9", 17
 Sumus ,"3,2", 14
 Blowtex ,"3,3", 13
 Qualcomm ,"3,8"," 5,7k"
 Deutsche Bank ,"3,4"," 5,3k"
 KFC ,"3,3"," 3,6k"
 Orange ,"3,8"," 3,4k"
 AXA ,"3,6"," 2,3k"
 Sunglass Hut ,"3,5"," 1,3k"
 GE Power ,"3,4"," 1,2k"
 Indeed ,"3,6"," 1,0k"
 Twitter ,"4,0", 894
 Cotton On ,"3,2", 853
 Sheraton ,"3,7", 850
 WeWork ,"3,3", 663
 Altice ,"2,5", 606
 Edwards Lifesciences ,"3,6", 555
 Anixter International ,"2,8", 454
 Dynatrace ,"4,4", 436
 Club Med ,"3,6", 414
 Sumitomo Mitsui Financial Group ,"3,1", 393
 STERIS ,"3,3", 346
 IDC (International Data Corporation) ,"3,4", 332
 Ashland ,"3,5", 327
 Gestamp ,"3,7", 278
 Agfa Healthcare ,"3,0", 240
 Belden ,"3,7", 223
 Tigre ,"3,8", 184
 Plansul ,"3,6", 164
 Billabong ,"3,4", 162
 Laboratório Sabin ,"4,2", 160
 Aptar ,"3,3", 146
 Tishman Speyer ,"3,7", 142
 Grupo São Francisco ,"3,6", 120
 Glory Global Solutions ,"3,6", 105
 Ceva Animal Health ,"3,4", 105
 Sankhya Gestão de Negócios ,"3,6", 105
 Krones ,"4,1", 101
 Alliance Française ,"3,4", 88
 Nacional Gás ,"3,9", 78
 Beleza Natural ,"3,7", 69
 Reweb ,"3,0", 68
 PC Service ,"3,0", 68
 Ministério Público da União ,"3,8", 67
 Companhia Municipal de Energia e Iluminação ,"3,4", 62
 Eldorado Brasil ,"4,2", 55
 Pullman Hotels ,"3,3", 55
 Solistica ,"3,9", 55
 Faculdade UnyLeya ,"3,7", 55
 IMCD Group ,"3,2", 44
 Neovia Group ,"3,4", 43
 Grupo Elfa ,"3,5", 40
 Sobrancelhas Design ,"2,5", 39
 ContourGlobal ,"2,7", 39
 Peterson Control Union ,"2,7", 37
 Elumini ,"3,5", 36
 BEPiD ,"4,7", 35
 Achieve Languages ,"3,2", 35
 Restaurante Coco Bambu ,"3,1", 34
 Mundipharma ,"4,1", 33
 ISH Tecnologia ,"4,1", 28
 Cartão de Todos ,"3,9", 27
 Santa Lolla ,"3,3", 26
 InVivo Nutrição e Saúde Animal ,"3,4", 26
 Método Supera ,"3,4", 26
 Brasif ,"3,4", 26
 Dairy Partners Americas ,"3,4", 26
 Metrohm ,"3,3", 26
 Works Construção & Serviços ,"3,6", 25
 Stoller Group ,"4,3", 24
 Itelios ,"4,0", 23
 OPTIMA Packaging Group ,"3,3", 23
 Mahogany ,"3,5", 23
 Atlantica Hotels ,"3,6", 23
 Nexo CS Informática ,"1,7", 22
 Azevedo & Travassos ,"3,3", 22
 Kluber ,"3,8", 22
 Chleba Digital Agency ,"3,3", 21
 Oncoprod Distribuidora de Produtos Hospitalares e Oncológicos ,"3,5", 21
 Via Pajuçara ,"3,4", 21
 Expresso Jundiaí ,"4,0", 21
 Panificadora Cepam ,"3,2", 20
 Nuvemshop ,"4,0", 20
 CESP ,"3,7", 20
 iugu ,"4,1", 19
 BM & F Bovespa ,"3,5", 19
 MSD Saúde Animal ,"4,3", 19
 Iss Servisystem ,"2,9", 19
 Caloi ,"4,1", 19
 Centro Paula Souza ,"3,8", 19
 Grupo Adeste ,"3,2", 19
 Aldeias Infantis ,"3,3", 18
 AGORA - Soluções em Telecomunicações ,"2,8", 18
 Esho Empresa de Serviços Hospitalares ,"4,0", 18
 Cia Tradicional de Comércio ,"3,5", 18
 Pinheiro Guimarães Advogados ,"3,8", 18
 Brasilit ,"3,9", 18
 Gestum ,"3,4", 18
 Prospectiva Consulting ,"3,7", 18
 Yandeh ,"3,7", 17
 Poli Júnior ,"4,5", 17
 IT Lean ,"2,8", 17
 Hospital Geral do Grajaú ,"3,6", 17
 VMT Telecomunicações ,"3,3", 17
 Prefeitura Municipal de Poá ,"3,2", 17
 Zoom Education For Life ,"3,3", 17
 Chris Cintos de Segurança ,"4,1", 16
 UNS Idiomas ,"2,9", 16
 HRTech ,"2,4", 16
 Getway Automação Comercial ,"3,3", 16
 Pés sem Dor ,"2,8", 16
 NCC Certificações ,"2,4", 16
 Hopi Hari ,"3,9", 16
 Consórcio Remaza ,"3,3", 16
 Ministério Público do Trabalho - SP ,"4,5", 16
 Confirp ,"2,6", 16
 Home Doctor ,"3,2", 16
 Trópico ,"3,9", 16
 Ascenty ,"3,6", 16
 Convenia ,"4,1", 16
 Banco Cacique ,"3,7", 15
 Luchesi Advogados ,"3,7", 15
 Cipasa ,"3,8", 15
 Hexis Científica ,"3,4", 15
 GoodBom Supermercados ,"3,6", 15
 TecnoLab Laboratório Médico ,"3,0", 15
 Somov ,"3,2", 15
 Plataforma Terceirização de Serviços ,"2,9", 15
 Zanc Assesoria Nacional de Cobrança ,"3,5", 15
 Its4 ,"2,5", 15
 TRYP Hotels ,"3,3", 15
 Dentsu Aegis Network Brasil ,"3,7", 14
 SESC Belenzinho ,"4,4", 14
 Hospital e Maternidade Madre Theodora ,"3,1", 14
 Dsv Uti Air & Sea Agenciamento de Transportes ,"3,2", 14
 Rossetti Equipamentos Rodoviarios ,"3,8", 14
 Liceu Jardim ,"3,6", 14
 Converplast ,"3,1", 14
 Arim Componentes ,"3,7", 14
 PayGo ,"3,4", 14
 Itaesbra Indústria Mecânica ,"4,0", 14
 ETEP Faculdades ,"2,9", 14
 Sancet Laboratório Médico ,"3,3", 14
 Tribunal Regional Eleitoral de São Paulo (TRE/SP) ,"4,0", 14
 Komfort House ,"2,8", 14
 M Camilo Consultoria ,"3,3", 14
 Formtap ,"3,0", 14
 Jobcenter do Brasil ,"4,1", 14
 Desktop Internet Services ,"2,9", 14
 Steck ,"3,5", 14
 Associação Comercial e Industrial de Campinas (ACIC) ,"4,0", 14
 Omnibees Hotel Revenue Management ,"3,0", 14
 Interaxa ,"3,9", 14
 Fanem ,"3,6", 14
 Automatos ,"3,6", 14
 Urbam - Urbanization Municipal ,"3,2", 13
 Fator ,"3,7", 13
 Sisgraph ,"3,4", 13
 Centro Universitário Belas Artes de São Paulo ,"3,2", 13
 MarketUP ,"2,8", 13
 Day Brasil ,"2,9", 13
 Secretaria de Serviços Prefeitura de São Paulo ,"3,8", 13
 Vyttra Diagnósticos ,"2,4", 13
 Supermercado Yamauchi ,"3,7", 13
 StarSoft ,"3,0", 13
 Fillity Modas e Confecções ,"4,4", 13
 Ka Solution ,"3,2", 13
 LM Farma ,"3,9", 13
 Multisolution ,"3,4", 13
 Work Telemarketing ,"3,2", 13
 Toxiclin Serviços Médicos ,"3,4", 13
 Prefeitura Municipal de Estância Balneária de Praia Grande ,"3,7", 13
 Hospital Geral de Pedreira ,"4,2", 13
 Indústria Fox ,"4,0", 13
 CHBS Advogados ,"2,9", 13
 Ivoire Design & Publicidade ,"3,0", 13
 Associação Paulista de Medicina ,"3,8", 13
 Doutores da Web ,"3,8", 13
 Salusse Marangoni Parente Jabur Advogados ,"3,7", 13
 e-Construmarket ,"3,4", 13
 Escola Internacional de Alphaville ,"3,3", 13
 IDC Brasil ,"3,4", 13
 Necton ,"3,8", 12
 Funchal Cobranças ,"3,0", 12
 Grupo Açotubo ,"3,6", 12
 Univap ,"3,9", 12
 Hospital e Maternidade Dr. Christóvão da Gama ,"4,4", 12
 LDC Agency ,"4,3", 12
 Fibam ,"3,0", 12
 Prefeitura Municipal de Votorantim ,"3,5", 12
 Ad.Agency ,"2,1", 12
 Metropolitana de Habitação de São Paulo ,"3,4", 12
 Vitória Hotéis ,"3,5", 12
 Center Castilho ,"3,0", 12
 Divicom ,"3,8", 12
 Benefício Certo ,"2,8", 12
 Locke Engenharia ,"3,6", 12
 PGL Brasil ,"3,6", 12
 NovaAgri ,"3,3", 12
 TalentFour ,"4,2", 12
 Grupo SCOR ,"1,9", 12
 Telemabi Central de Atendimento Telefônico ,"2,3", 12
 Óticas Gassi ,"3,5", 12
 America Net ,"2,6", 12
 Casa Km ,"3,1", 12
 AGIS ,"3,8", 12
 Tech For TI ,"2,9", 12
 Comando G8 ,"3,6", 12
 ESX Brasil ,"4,7", 12
" POIESIS - Instituto de Apoio à Cultura, à Língua e à Literatura ","3,7", 12
 Prefeitura Municipal de Santa Bárbara d´Oeste ,"2,6", 12
 Quality Inteligência ,"1,4", 12
 Agência Ideal ,"3,3", 12
 Fundação para o Desenvolvimento Tecnológico da Engenharia ,"3,9", 11
 FEA júnior USP ,"4,4", 11
 Yamamura ,"3,5", 11
 Hexag Vestibulares ,"2,3", 11
 Construtora HOSS ,"3,9", 11
 PH3A Tecnologia ,"3,4", 11
 Corr Plastik ,"3,7", 11
 Mariz de Oliveira e Siqueira Campos ,"3,8", 11
 Dibracam ,"2,9", 11
 Viapol ,"3,8", 11
 Hospital Ribeirão Pires ,"3,0", 11
 Hiroshima ,"2,2", 11
 Amphenol TFC ,"2,3", 11
 PAN Seguros ,"3,3", 11
 Vigorito ,"3,5", 17
 H. Strattner ,"3,7", 42
 Celistics ,"2,8", 40
 Secretaria de Segurança Pública de São Paulo ,"3,6", 22
 Engebras ,"3,8", 18
 Craft Multimodal ,"3,5", 17
 ADCOS Cosméticos ,"3,3", 48
 Boldrini ,"3,6", 13
 Grupo Godoy ,"3,5", 12
 Rio Branco Papéis ,"3,0", 11
 WABR ,"2,9", 11
 Caterpillar ,"3,6"," 4,0k"
 Rolls-Royce ,"3,6"," 1,6k"
 Western Union ,"3,2"," 1,1k"
 Tommy Hilfiger ,"3,5"," 1,0k"
 Micro Focus ,"3,0", 984
 Beckman Coulter ,"3,3", 924
 Holiday Inn ,"3,4", 884
 MicroStrategy ,"3,5", 878
 ICON ,"3,3", 856
 DHL Global Forwarding ,"3,4", 772
 Smith & Nephew ,"3,1", 733
 Riot Games ,"3,8", 612
 Zebra Technologies ,"3,5", 573
 Alere ,"2,9", 540
 Fitch Ratings ,"3,3", 459
 Energisa ,"3,9", 421
 Crocs ,"3,0", 411
 Spectrum Brands ,"3,3", 398
 Keyence ,"3,8", 371
 Le Pain Quotidien ,"2,9", 348
 Adient ,"3,4", 306
 TÜV SÜD ,"3,6", 291
 Mirum ,"3,6", 281
 InnerWorkings ,"2,9", 243
 Toyota Tsusho ,"3,0", 214
 Sovos ,"3,6", 205
 Martins Commerce and Distribution Services ,"3,8", 187
 EDAG ,"3,7", 169
 Ve Global ,"2,9", 162
 Hutchinson ,"2,8", 154
 MANN+HUMMEL ,"3,3", 152
 Alterdata Software ,"3,7", 149
 Samsonite ,"3,1", 148
 Hellmann Worldwide Logistics ,"3,2", 148
 Woodbridge ,"2,9", 130
 BYD ,"2,6", 109
 Bekaert ,"3,2", 108
 Tramontina USA ,"3,6", 97
