empresa,nota,avaliacoes
 Banco PAN ,"4,0", 319
 Akzo Nobel Worldwide ,"4,0"," 1,2k"
 Linx ,"3,3", 582
 Solvay ,"3,6", 718
 Duratex ,"3,6", 449
 Hypera Pharma ,"3,7", 444
 Prevent Sênior ,"4,0", 255
 Grupo Boticário ,"4,1"," 1,1k"
 Novartis ,"3,7"," 3,6k"
 HSBC Holdings ,"3,7", 11k
 Mondelēz International ,"4,1"," 3,0k"
 CPqD ,"3,6", 241
 Cargill ,"3,9"," 3,0k"
 ADP ,"3,7"," 8,9k"
 Raízen ,"3,9"," 1,1k"
 Companhia Paulista de Trens Metropolitanos (CPTM) ,"3,9", 228
 Flex Contact Center ,"3,5", 530
 Scania ,"4,1", 497
 Wise Up ,"3,4", 468
 Cummins ,"3,9"," 3,4k"
 Kimberly-Clark ,"3,9"," 1,9k"
 Avanade ,"3,9"," 1,8k"
 RB ,"3,3"," 1,8k"
 EY ,"3,7", 25k
 Valeo ,"3,5"," 1,6k"
 Grupo FCamara ,"4,3", 229
 GFT Technologies ,"3,7", 425
 Hewlett Packard Enterprise | HPE ,"3,7"," 9,9k"
 Grupo Júlio Simões Logística (JSL) ,"3,5", 351
 Hospital Santa Marcelina ,"3,6", 241
 Grupo Notredame Intermédica ,"3,6", 234
 Toyota Motor Corporation ,"3,7", 987
 Roche ,"3,9"," 2,9k"
 Uber ,"4,3"," 8,1k"
 Tata Consultancy Services ,"3,7", 41k
 Dow ,"3,8"," 2,1k"
 BDO ,"3,4"," 1,9k"
 Tecsis ,"3,7", 236
 Votorantim Cimentos ,"4,1", 570
 SAP ,"4,4", 12k
 Mutant ,"3,3", 218
 São Paulo Metrô ,"4,1", 212
 Grupo Saraiva ,"3,5", 314
 LG Electronics ,"3,4"," 1,8k"
 Rede D'Or São Luiz ,"3,1", 511
 Assai Atacadista ,"3,7", 447
 Zara ,"3,1"," 3,3k"
 Boehringer Ingelheim ,"3,7"," 1,5k"
 Syngenta ,"4,3"," 1,1k"
 Mary Kay ,"3,9"," 1,7k"
 Hospital São Camilo ,"3,7", 282
 Accor ,"3,9"," 1,2k"
 SESC ,"4,1", 576
 Universidade Anhembi Morumbi ,"3,7", 206
 Universidade Nove de Julho ,"3,5", 203
 Pearson ,"3,2"," 4,1k"
 Chilli Beans ,"3,8", 631
 Logicalis ,"3,4", 503
 99 ,"3,8", 227
 Catho Online ,"3,9", 192
 AlmavivA ,"2,9", 690
 Europ Assistance ,"3,3", 327
 Sonda Delivery ,"4,0", 224
 Mars ,"3,9"," 2,1k"
 SulAmérica ,"4,0", 456
 EDP ,"3,9", 358
 PMESP ,"3,7", 236
 Bunge Limited ,"3,8", 554
 Ultragaz ,"3,6", 304
 CIEE (Brazil) ,"4,0", 459
 VivaReal ,"3,9", 212
 Atento ,"3,3", 297
 Grant Thornton ,"3,5"," 2,6k"
 Atacadão ,"3,6", 630
 Qualicorp Administradora de Benefícios ,"3,5", 232
 Huawei Technologies ,"3,7"," 5,2k"
 Makro Atacadista ,"3,5", 421
 CVC Brasil Operadora e Agência de Viagens ,"3,4", 310
 Henkel ,"4,1"," 2,0k"
 Merck ,"3,8"," 3,6k"
 Manserv ,"3,6", 369
 BTG Pactual ,"3,8", 322
 Polishop ,"3,5", 295
 Petrobras Energía ,"4,2"," 1,4k"
 Pirelli ,"3,7", 434
 Gafisa ,"3,5", 244
 FALCONI ,"3,9", 390
 Schaeffler Group ,"3,5", 818
 Cnova ,"3,1", 198
 Hospital Sírio-Libanês ,"4,0", 195
 Simpress ,"3,5", 254
 Edenred ,"4,1", 409
 Continental ,"3,8"," 2,9k"
 Mackenzie University ,"3,7", 182
 Decathlon ,"3,7"," 1,8k"
 Neobpo ,"3,1", 247
" Alelo TLT, LLC. ","4,3", 190
 Johnson Controls ,"3,3"," 3,5k"
 Cushman & Wakefield ,"3,5"," 1,5k"
 ALSTOM ,"3,6"," 1,2k"
 Sercom Contact Center ,"3,6", 183
 Eaton ,"3,7"," 3,0k"
 Anhanguera Educacional ,"3,6", 276
 RSI Informática ,"3,3", 197
 Flex ,"3,7"," 2,5k"
 Usiminas ,"3,6", 484
 TeleTech (Cairo) ,"3,7", 181
 Nube - Núcleo Brasileiro de Estágios ,"3,7", 167
 Hering ,"3,8", 448
 HITSS ,"3,4", 363
 Somos Educação ,"3,7", 208
 Loggi ,"4,2", 174
 Arcos Dorados ,"3,6", 369
 GRSA ,"3,4", 293
 Escale ,"4,3", 175
 Eldorado Research Institute ,"4,1", 249
 SumUp ,"3,9", 228
 Starbucks ,"3,8", 24k
 DuPont ,"3,7"," 2,1k"
 Spread ,"3,1", 244
 Grupo Verzani & Sandrini ,"3,5", 229
 Exército Brasileiro ,"4,1"," 1,1k"
 Hon Hai ,"3,6", 196
 Atos ,"3,3"," 5,3k"
 Allianz Partners ,"3,1", 727
 Habib's Delivery ,"3,5", 318
 TozziniFreire Advogados ,"3,6", 218
 Philips ,"3,8"," 5,0k"
 Credit Suisse ,"3,6"," 4,9k"
 Telefónica ,"3,8"," 1,6k"
 Sistema Brasileiro de Televisão ,"3,9", 192
 AC Camargo Cancer Center ,"3,8", 180
 Comgás ,"3,3", 159
 Yaman ,"4,4", 149
 Grupo Bimbo ,"3,8", 764
 Gympass ,"3,6", 263
 Cyrela Brazil Realty ,"4,0", 317
 Grupo Konecta ,"2,9", 226
 Groupon ,"3,4"," 2,7k"
 Goodyear ,"3,3"," 1,2k"
 Embratel ,"3,4", 448
 Bridgestone Global ,"3,6", 390
 Grupo Globo ,"4,0", 890
 Grupo Estado ,"3,1", 161
